"","dispnum","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","COWcode","year"
"5",4,"UKG",200,15,5,1946,13,11,1946,0,0,0,-9,2,-9,7,3,1,5,5,3,1,1,1,200,1946
"6",4,"ALB",339,15,5,1946,13,11,1946,1,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,339,1946
"7",7,"EGY",651,13,10,1951,26,1,1952,0,1,2,-9,2,-9,17,4,1,5,1,3,1,1,1,651,1951
"8",7,"UKG",200,13,10,1951,26,1,1952,1,0,0,-9,1,-9,17,4,1,5,1,3,1,1,1,200,1951
"50",26,"USA",2,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5,5,3,1,1,3,2,1948
"51",26,"FRN",220,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5,5,3,1,1,3,220,1948
"52",26,"USR",365,21,3,1948,25,7,1949,1,1,1,-9,0,0,16,4,1,5,5,3,1,1,3,365,1948
"53",26,"UKG",200,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5,5,3,1,1,3,200,1948
"54",27,"USA",2,25,7,1961,28,10,1961,1,0,0,-9,0,0,10,3,1,5,5,3,1,4,4,2,1961
"55",27,"UKG",200,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,5,5,3,1,4,4,200,1961
"56",27,"GDR",265,13,8,1961,28,10,1961,0,1,2,-9,0,0,13,4,0,5,5,3,1,4,4,265,1961
"57",27,"POL",290,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,5,5,3,1,4,4,290,1961
"58",27,"USR",365,25,7,1961,28,10,1961,0,1,2,-9,0,0,13,4,1,5,5,3,1,4,4,365,1961
"59",27,"GFR",260,13,8,1961,28,10,1961,1,0,0,-9,0,0,17,4,0,5,5,3,1,4,4,260,1961
"60",27,"FRN",220,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,5,5,3,1,4,4,220,1961
"61",27,"CZE",315,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,5,5,3,1,4,4,315,1961
"62",28,"FRN",220,19,7,1961,5,9,1961,0,0,0,-9,1,-9,17,4,1,5,6,1,1,1,1,220,1961
"63",28,"TUN",616,19,7,1961,5,9,1961,1,1,2,-9,3,-9,13,4,1,5,6,1,1,1,1,616,1961
"83",50,"CHN",710,11,2,1953,19,1,1956,0,1,1,-9,2,-9,17,4,1,5,5,3,1,3,2,710,1953
"84",50,"ROK",732,13,2,1953,13,2,1953,1,1,1,-9,0,0,1,2,0,5,5,3,1,3,2,732,1953
